WIN,LOSS
Binghamton: Choudhury & T. Louis,George Mason: Davis & Fuchs
Binghamton: Choudhury & T. Louis,George Mason: Davis & Fuchs
Binghamton: Choudhury & T. Louis,George Mason: Dover & Wright
Binghamton: Choudhury & T. Louis,Georgetown: Cowan & White
Binghamton: Choudhury & T. Louis,Houston: Dubey & Wang
Binghamton: Choudhury & T. Louis,Iowa: Cavanaugh & Ella
Binghamton: Choudhury & T. Louis,Iowa: Patel & Weimar
Binghamton: Choudhury & T. Louis,James Madison: Mishra & Oehler
Binghamton: Choudhury & T. Louis,Kansas: Hato & Persinger
Binghamton: Choudhury & T. Louis,Kentucky: Adam & McBlain
Binghamton: Choudhury & T. Louis,Michigan: Gao & Shih
Binghamton: Choudhury & T. Louis,Navy: Connor & Rea
Binghamton: Choudhury & T. Louis,NYU: Makinde & Saigal
Binghamton: Choudhury & T. Louis,Texas: Chalamalasetty & Feinstein
Binghamton: Cohn & Guizatoullina,Army: Opron & Shatilenko
Binghamton: Cohn & Guizatoullina,Cornell: Ahmad & Lea
Binghamton: Cohn & Guizatoullina,Emory: Waghray & Wilson
Binghamton: Cohn & Guizatoullina,Gonzaga: Dawson & Wellman
Binghamton: Cohn & Guizatoullina,Harvard: Gines & Ogbogu
Binghamton: Cohn & Guizatoullina,Harvard: Kundu & Yeboah
Binghamton: Cohn & Guizatoullina,Houston: Kidd & Nguyen
Binghamton: Cohn & Guizatoullina,James Madison: Balda & Mishra
Binghamton: Cohn & Guizatoullina,James Madison: Harlow & Ortiz
Binghamton: Cohn & Guizatoullina,Kentucky: Stockstill & Toro
Binghamton: Cohn & Guizatoullina,Liberty: Dellinger & Hamilton
Binghamton: Cohn & Guizatoullina,Missouri State: Abdelhakiem & Granger
Binghamton: Cohn & Guizatoullina,Missouri State: Roy & Shockley
Binghamton: Cohn & Guizatoullina,Navy: Basu-Mallick & Kim
Binghamton: Cohn & Guizatoullina,Navy: Choi & Santiago
Binghamton: Cohn & Guizatoullina,New School: Gallo & Lapidus
Binghamton: Cohn & Guizatoullina,NYU: Nakakura & Ziabkin
Binghamton: Cohn & Guizatoullina,Texas: Healey & Noriega
Binghamton: Cohn & Guizatoullina,Tufts: Li & Stinson
